2022-1-5 05:18:51 WARN: upload a.txt, Mode: netascii, Details: 10th data upload timeout!
2022-1-5 05:18:57 WARN: upload a.txt, Mode: netascii, Details: 19th data upload timeout!
2022-1-5 05:19:04 WARN: upload a.txt, Mode: netascii, Details: 24th data upload timeout!
2022-1-5 05:19:18 WARN: upload a.txt, Mode: netascii, Details: 45th data upload timeout!
2022-1-5 05:19:21 WARN: upload a.txt, Mode: netascii, Details: 45th data upload timeout!
2022-1-5 05:19:30 WARN: upload a.txt, Mode: netascii, Details: 58th data upload timeout!
2022-1-5 05:19:33 WARN: upload a.txt, Mode: netascii, Details: 59th data upload timeout!
2022-1-5 05:19:39 WARN: upload a.txt, Mode: netascii, Details: 66th data upload timeout!
2022-1-5 05:19:49 WARN: upload a.txt, Mode: netascii, Details: 86th data upload timeout!
2022-1-5 05:19:52 WARN: upload a.txt, Mode: netascii, Details: 88th data upload timeout!
2022-1-5 05:20:01 WARN: upload a.txt, Mode: netascii, Details: 106th data upload timeout!
2022-1-5 05:20:06 WARN: upload a.txt, Mode: netascii, Details: 113th data upload timeout!
2022-1-5 05:20:10 WARN: upload a.txt, Mode: netascii, Details: 114th data upload timeout!
2022-1-5 05:20:19 WARN: upload a.txt, Mode: netascii, Details: 127th data upload timeout!
2022-1-5 05:20:24 WARN: upload a.txt, Mode: netascii, Details: 130th data upload timeout!
2022-1-5 05:20:31 WARN: upload a.txt, Mode: netascii, Details: 139th data upload timeout!
2022-1-5 05:20:36 WARN: upload a.txt, Mode: netascii, Details: 141th data upload timeout!
2022-1-5 05:20:39 WARN: upload a.txt, Mode: netascii, Details: 141th data upload timeout!
2022-1-5 05:20:44 WARN: upload a.txt, Mode: netascii, Details: 145th data upload timeout!
2022-1-5 05:20:52 WARN: upload a.txt, Mode: netascii, Details: 156th data upload timeout!
2022-1-5 05:20:56 WARN: upload a.txt, Mode: netascii, Details: 159th data upload timeout!
2022-1-5 05:20:56 INFO: upload a.txt, Mode: netascii, Size: 79.98 KB, Time: 132.21 s, Loss rate: 11.60%
2022-1-5 05:57:27 WARN: upload back.png, Mode: octet, Details: Connect timeout!
2022-1-5 05:57:30 WARN: upload back.png, Mode: octet, Details: Connect timeout!
2022-1-5 05:57:33 WARN: upload back.png, Mode: octet, Details: Connect timeout!
2022-1-5 05:57:36 WARN: upload back.png, Mode: octet, Details: Connect timeout!
2022-1-5 05:57:39 WARN: upload back.png, Mode: octet, Details: Connect timeout!
2022-1-5 05:57:39 ERROR: upload back.png, Mode: octet, Details: Connect failure!
2022-1-5 05:58:19 WARN: upload back.png, Mode: octet, Details: Connect timeout!
2022-1-5 05:58:22 WARN: upload back.png, Mode: octet, Details: Connect timeout!
2022-1-5 05:58:26 WARN: upload back.png, Mode: octet, Details: Connect timeout!
2022-1-5 05:58:29 WARN: upload back.png, Mode: octet, Details: Connect timeout!
2022-1-5 05:58:32 WARN: upload back.png, Mode: octet, Details: Connect timeout!
2022-1-5 05:58:32 ERROR: upload back.png, Mode: octet, Details: Connect failure!
2022-1-5 05:59:01 WARN: upload back.png, Mode: octet, Details: Connect timeout!
2022-1-5 05:59:04 WARN: upload back.png, Mode: octet, Details: Connect timeout!
2022-1-5 05:59:07 WARN: upload back.png, Mode: octet, Details: Connect timeout!
2022-1-5 05:59:10 WARN: upload back.png, Mode: octet, Details: Connect timeout!
2022-1-5 05:59:13 WARN: upload back.png, Mode: octet, Details: Connect timeout!
2022-1-5 05:59:13 ERROR: upload back.png, Mode: octet, Details: Connect failure!
2022-1-5 05:59:36 INFO: upload back.png, Mode: octet, Size: 3.23 KB, Time: 0.02 s, Loss rate: 0.00%
2022-1-5 06:03:50 INFO: download 111.txt to E:/111.txt, Mode: netascii, Size: 0.05 KB, Time: 0.11 s, Loss rate: 0.00%
2022-1-5 06:05:48 INFO: download 111.txt to E:/111.txt, Mode: netascii, Size: 2.56 KB, Time: 0.63 s, Loss rate: 0.00%
2022-1-5 06:06:19 INFO: download 111.txt to E:/111.txt, Mode: netascii, Size: 1.92 KB, Time: 0.42 s, Loss rate: 0.00%
